,Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
0,BTC-USD,Bitcoin USD,"20,192.18",-151.96,-0.75%,386.439B,32.57B,32.57B,32.57B,19.138M
1,ETH-USD,Ethereum USD,"1,570.86",-19.65,-1.24%,191.946B,19.971B,19.971B,19.971B,122.191M
2,USDT-USD,Tether USD,1.0000,-0.0000,-0.00%,67.554B,47.799B,47.799B,47.799B,67.55B
3,USDC-USD,USD Coin USD,1.0002,+0.0001,+0.01%,52.324B,5.473B,5.473B,5.473B,52.313B
4,BNB-USD,Binance Coin USD,280.17,-6.56,-2.29%,45.202B,944.302M,944.302M,944.302M,161.337M
5,BUSD-USD,Binance USD USD,1.0001,-0.0002,-0.02%,19.309B,7.402B,7.402B,7.402B,19.306B
6,XRP-USD,XRP USD,0.326591,-0.005511,-1.66%,16.214B,902.332M,902.332M,902.332M,49.646B
7,ADA-USD,Cardano USD,0.449846,-0.011328,-2.46%,15.365B,522.014M,522.014M,522.014M,34.156B
8,SOL-USD,Solana USD,31.62,-0.55,-1.72%,11.065B,762.148M,762.148M,762.148M,349.883M
9,DOGE-USD,Dogecoin USD,0.061728,-0.001127,-1.79%,8.189B,300.17M,300.17M,300.17M,132.671B
10,DOT-USD,Polkadot USD,7.0805,-0.1392,-1.93%,7.876B,271.199M,271.199M,271.199M,1.112B
11,MATIC-USD,Polygon USD,0.851417,+0.021781,+2.63%,7.392B,451.655M,451.655M,451.655M,8.682B
12,HEX-USD,HEX USD,0.040238,-0.000972,-2.36%,6.978B,8.475M,8.475M,8.475M,173.411B
13,DAI-USD,Dai USD,1.0002,-0.0004,-0.04%,6.974B,559.395M,559.395M,559.395M,6.973B
14,SHIB-USD,SHIBA INU USD,0.000012,-0.000000,-1.91%,6.713B,277.448M,277.448M,277.448M,549.063T
15,WTRX-USD,Wrapped TRON USD,0.063393,-0.001636,-2.52%,6.446B,"876,512","876,512","876,512",101.676B
16,TRX-USD,TRON USD,0.063555,-0.001635,-2.51%,5.871B,423.021M,423.021M,423.021M,92.384B
17,AVAX-USD,Avalanche USD,19.38,-0.48,-2.41%,5.708B,383.163M,383.163M,383.163M,294.44M
18,LEO-USD,UNUS SED LEO USD,5.8338,+0.4225,+7.81%,5.565B,4.41M,4.41M,4.41M,953.954M
19,STETH-USD,Lido stETH USD,"1,525.73",-20.48,-1.32%,5.321B,7.693M,7.693M,7.693M,3.488M
20,WBTC-USD,Wrapped Bitcoin USD,"20,166.70",-125.14,-0.62%,4.997B,262.483M,262.483M,262.483M,"247,760"
21,UNI1-USD,Uniswap USD,6.1856,-0.1293,-2.05%,4.612B,160.059M,160.059M,160.059M,745.588M
22,ETC-USD,Ethereum Classic USD,32.63,-0.81,-2.43%,4.458B,754.575M,754.575M,754.575M,136.632M
23,YOUC-USD,yOUcash USD,0.511295,-0.000013,-0.00%,4.406B,1.15M,1.15M,1.15M,8.617B
24,LTC-USD,Litecoin USD,55.82,+1.24,+2.28%,3.967B,450.896M,450.896M,450.896M,71.068M
25,BTC-USD,Bitcoin USD,"20,192.18",-151.96,-2.41%,3.602B,278.947M,278.947M,278.947M,134.214M
26,ATOM-USD,Cosmos USD,11.82,-0.26,-2.17%,3.386B,338.899M,338.899M,338.899M,286.37M
27,NEAR-USD,NEAR Protocol USD,4.3366,+0.0170,+0.39%,3.354B,429.061M,429.061M,429.061M,773.535M
28,LINK-USD,Chainlink USD,6.6488,-0.1325,-1.95%,3.269B,297.675M,297.675M,297.675M,491.6M
29,CRO-USD,Crypto.com Coin USD,0.123050,-0.001117,-0.90%,3.109B,16.151M,16.151M,16.151M,25.263B
30,XMR-USD,Monero USD,151.82,+1.65,+1.10%,2.758B,84.037M,84.037M,84.037M,18.168M
31,XLM-USD,Stellar USD,0.105371,+0.000850,+0.81%,2.664B,91.585M,91.585M,91.585M,25.281B
32,BCH-USD,Bitcoin Cash USD,116.60,-0.57,-0.48%,2.234B,209.127M,209.127M,209.127M,19.161M
33,FLOW-USD,Flow USD,2.0525,+0.0242,+1.20%,2.127B,113.921M,113.921M,113.921M,1.036B
34,BTCB-USD,Bitcoin BEP2 USD,"20,163.66",-127.21,-0.63%,2.122B,6.505M,6.505M,6.505M,"105,214"
35,ALGO-USD,Algorand USD,0.290297,-0.007626,-2.56%,2.003B,50.355M,50.355M,50.355M,6.899B
36,TONCOIN-USD,Toncoin USD,1.4948,+0.0094,+0.63%,1.826B,5.778M,5.778M,5.778M,1.221B
37,VET-USD,VeChain USD,0.024374,-0.000541,-2.17%,1.767B,67.863M,67.863M,67.863M,72.511B
38,XCN1-USD,Chain USD,0.081222,-0.001201,-1.46%,1.744B,6.571M,6.571M,6.571M,21.473B
39,ICP-USD,Internet Computer USD,6.2509,-0.1591,-2.48%,1.6B,43.438M,43.438M,43.438M,255.929M
40,FIL-USD,Filecoin USD,5.7916,-0.0336,-0.58%,1.573B,181.018M,181.018M,181.018M,271.681M
41,FRAX-USD,Frax USD,0.999374,-0.001934,-0.19%,1.498B,7.513M,7.513M,7.513M,1.499B
42,APE3-USD,ApeCoin USD,4.8037,-0.1478,-2.98%,1.474B,140.958M,140.958M,140.958M,306.875M
43,LUNA1-USD,Terra USD,0.000222,+0.000069,+45.25%,1.463B,884.674M,884.674M,884.674M,6.585T
44,MANA-USD,Decentraland USD,0.775741,-0.011798,-1.50%,1.437B,125.47M,125.47M,125.47M,1.852B
45,SAND-USD,The Sandbox USD,0.941530,-0.029639,-3.05%,1.387B,210.113M,210.113M,210.113M,1.473B
46,EOS-USD,EOS USD,1.3772,-0.0575,-4.00%,1.376B,308.638M,308.638M,308.638M,999.41M
47,XTZ-USD,Tezos USD,1.5137,-0.0222,-1.44%,1.374B,31.307M,31.307M,31.307M,907.409M
48,HBAR-USD,Hedera USD,0.062865,-0.001653,-2.56%,1.325B,33.162M,33.162M,33.162M,21.085B
49,CHZ-USD,Chiliz USD,0.213782,+0.010585,+5.21%,1.283B,643.503M,643.503M,643.503M,6B
50,FTT-USD,FTX Token USD,0.610058,+0.007370,+1.22%,1.257B,77.7M,77.7M,77.7M,2.061B
51,EGLD-USD,Elrond USD,52.70,-2.44,-4.42%,1.216B,40.798M,40.798M,40.798M,23.079M
52,WBNB-USD,Wrapped BNB USD,279.63,-7.15,-2.49%,1.215B,134.235M,134.235M,134.235M,4.345M
53,AAVE-USD,Aave USD,85.17,-1.78,-2.05%,1.193B,136.975M,136.975M,136.975M,14.008M
54,QNT-USD,Quant USD,97.30,-2.02,-2.03%,1.175B,25.226M,25.226M,25.226M,12.073M
55,THETA-USD,THETA USD,1.1689,-0.0205,-1.73%,1.169B,31.422M,31.422M,31.422M,1B
56,AXS-USD,Axie Infinity USD,14.01,-0.29,-2.00%,1.165B,109.335M,109.335M,109.335M,83.151M
57,TUSD-USD,TrueUSD USD,1.0003,-0.0000,-0.00%,1.077B,203.373M,203.373M,203.373M,1.076B
58,BSV-USD,Bitcoin SV USD,51.89,-0.97,-1.83%,994.081M,76.139M,76.139M,76.139M,19.157M
59,USDP-USD,Pax Dollar USD,1.0008,-0.0003,-0.03%,946.383M,3.973M,3.973M,3.973M,945.643M
60,OKB-USD,OKB USD,15.49,-0.06,-0.38%,929.571M,11.102M,11.102M,11.102M,60M
61,XEC-USD,eCash USD,0.000048,+0.000002,+4.78%,915.444M,97.279M,97.279M,97.279M,19.158T
62,ZEC-USD,Zcash USD,59.97,-1.44,-2.34%,909.364M,70.754M,70.754M,70.754M,15.164M
63,KCS-USD,KuCoin Token USD,9.0695,-0.0168,-0.18%,892.257M,2.391M,2.391M,2.391M,98.38M
64,BTT-USD,BitTorrent USD,0.000851,+0.000004,+0.45%,842.6M,"59,510","59,510","59,510",990B
65,BTT2-USD,BitTorrent (new) USD,0.00000088,-0.00000001,-1.27%,830.589M,23.913M,23.913M,23.913M,940.054T
66,MIOTA-USD,IOTA USD,0.283041,-0.009748,-3.33%,786.722M,16.491M,16.491M,16.491M,2.78B
67,HBTC-USD,Huobi BTC USD,"20,147.62",-181.48,-0.89%,785.143M,"179,007","179,007","179,007","38,969"
68,MKR-USD,Maker USD,761.83,-46.97,-5.81%,744.79M,157.798M,157.798M,157.798M,"977,631"
69,SNX-USD,Synthetix USD,3.0685,-0.0408,-1.3115%,725.903M,129.941M,129.941M,129.941M,236.567M
70,USDD-USD,USDD USD,0.999299,+0.000416,+0.04%,724.823M,24.826M,24.826M,24.826M,725.332M
71,HT-USD,Huobi Token USD,4.7066,-0.0977,-2.03%,721.796M,17.108M,17.108M,17.108M,153.358M
72,GRT1-USD,The Graph USD,0.103681,-0.001731,-1.64%,715.402M,114.746M,114.746M,114.746M,6.9B
73,KLAY-USD,Klaytn USD,0.233428,-0.001167,-0.50%,703.531M,36.996M,36.996M,36.996M,3.014B
74,FTM-USD,Fantom USD,0.2753,-0.0065,-2.3119%,700.552M,136.203M,136.203M,136.203M,2.545B
75,BIT1-USD,BitDAO USD,0.610058,-0.018644,-1.91%,656.072M,2.512M,2.512M,2.512M,685.064M
76,HNT-USD,Helium USD,5.2123,-0.3853,-6.88%,652.741M,12.944M,12.944M,12.944M,125.231M
77,RUNE-USD,THORChain USD,1.9275,-0.0234,-1.20%,637.39M,63.355M,63.355M,63.355M,330.688M
78,NEO-USD,Neo USD,9.0152,-0.2689,-2.90%,635.919M,40.287M,40.287M,40.287M,70.539M
79,LDO-USD,Lido DAO Token USD,2.0118,-0.0629,-3.03%,629.607M,167.035M,167.035M,167.035M,312.951M
80,NEXO-USD,Nexo USD,1.0869,+0.0382,+3.64%,608.683M,80.899M,80.899M,80.899M,560M
81,CRV-USD,Curve DAO Token USD,1.1436,+0.0399,+3.62%,601.297M,136.128M,136.128M,136.128M,525.81M
82,PAXG-USD,PAX Gold USD,"1,702.14",-15.60,-0.91%,567.915M,13.607M,13.607M,13.607M,"333,648"
83,CAKE-USD,PancakeSwap USD,3.9520,-0.1378,-3.37%,543.98M,60.207M,60.207M,60.207M,137.647M
84,ENJ-USD,Enjin Coin USD,0.519162,-0.008114,-1.54%,519.162M,29.186M,29.186M,29.186M,1B
85,BAT-USD,Basic Attention Token USD,0.334880,-0.008267,-2.41%,501.766M,33.347M,33.347M,33.347M,1.498B
86,WAVES-USD,Waves USD,4.4968,-0.0740,-1.62%,491.094M,88.204M,88.204M,88.204M,109.21M
87,DASH-USD,Dash USD,44.76,-1.35,-2.92%,487.578M,74.429M,74.429M,74.429M,10.893M
88,STX-USD,Stacks USD,0.364538,-0.005832,-1.57%,485.432M,11.791M,11.791M,11.791M,1.332B
89,ZIL-USD,Zilliqa USD,0.036185,-0.000566,-1.54%,478.985M,99.795M,99.795M,99.795M,13.237B
90,DFI-USD,DeFiChain USD,0.923942,+0.014875,+1.64%,471.893M,4.501M,4.501M,4.501M,510.738M
91,LRC-USD,Loopring USD,0.350659,-0.012069,-3.33%,466.419M,37.874M,37.874M,37.874M,1.33B
92,MINA-USD,Mina USD,0.669403,-0.013101,-1.92%,440.141M,13.102M,13.102M,13.102M,657.512M
93,KAVA-USD,Kava USD,1.7512,+0.0223,+1.29%,439.335M,51.428M,51.428M,51.428M,250.875M
94,FEI-USD,Fei USD USD,0.993308,-0.002069,-0.21%,422.152M,7.937M,7.937M,7.937M,424.996M
95,XAUT-USD,Tether Gold USD,"1,702.02",-16.71,-0.97%,419.588M,"487,407","487,407","487,407","246,524"
96,DCR-USD,Decred USD,28.54,-0.28,-0.98%,408.492M,1.508M,1.508M,1.508M,14.311M
97,GMT3-USD,Green Metaverse Token USD,0.674126,-0.009870,-1.44%,404.475M,127.548M,127.548M,127.548M,600M
98,GNO-USD,Gnosis USD,156.55,-2.43,-1.53%,403.842M,7.567M,7.567M,7.567M,2.58M
99,KSM-USD,Kusama USD,47.45,-1.65,-3.37%,401.942M,19.546M,19.546M,19.546M,8.47M
